client,benchmark,iteration,value_ns,success,error,param_size,param_messages,param_concurrency
aio-pika,publish_latency,0,749900,True,,256B,,
aio-pika,publish_latency,1,711000,True,,256B,,
aio-pika,publish_latency,2,608600,True,,256B,,
aio-pika,publish_latency,3,589900,True,,256B,,
aio-pika,publish_latency,4,634500,True,,256B,,
aio-pika,publish_latency,5,609900,True,,256B,,
aio-pika,publish_latency,6,621000,True,,256B,,
aio-pika,publish_latency,7,589900,True,,256B,,
aio-pika,publish_latency,8,735300,True,,256B,,
aio-pika,publish_latency,9,744100,True,,256B,,
aio-pika,publish_latency,10,706700,True,,256B,,
aio-pika,publish_latency,11,677700,True,,256B,,
aio-pika,publish_latency,12,587100,True,,256B,,
aio-pika,publish_latency,13,621700,True,,256B,,
aio-pika,publish_latency,14,615400,True,,256B,,
aio-pika,publish_latency,15,624500,True,,256B,,
aio-pika,publish_latency,16,614200,True,,256B,,
aio-pika,publish_latency,17,599200,True,,256B,,
aio-pika,publish_latency,18,584300,True,,256B,,
aio-pika,publish_latency,19,584400,True,,256B,,
aio-pika,publish_latency,20,618100,True,,256B,,
aio-pika,publish_latency,21,596600,True,,256B,,
aio-pika,publish_latency,22,578500,True,,256B,,
aio-pika,publish_latency,23,594900,True,,256B,,
aio-pika,publish_latency,24,601400,True,,256B,,
aio-pika,publish_latency,25,645600,True,,256B,,
aio-pika,publish_latency,26,618400,True,,256B,,
aio-pika,publish_latency,27,587200,True,,256B,,
aio-pika,publish_latency,28,583000,True,,256B,,
aio-pika,publish_latency,29,589700,True,,256B,,
aio-pika,publish_latency,30,576400,True,,256B,,
aio-pika,publish_latency,31,568000,True,,256B,,
aio-pika,publish_latency,32,619300,True,,256B,,
aio-pika,publish_latency,33,589600,True,,256B,,
aio-pika,publish_latency,34,601600,True,,256B,,
aio-pika,publish_latency,35,724100,True,,256B,,
aio-pika,publish_latency,36,1110400,True,,256B,,
aio-pika,publish_latency,37,596200,True,,256B,,
aio-pika,publish_latency,38,622600,True,,256B,,
aio-pika,publish_latency,39,576300,True,,256B,,
aio-pika,publish_latency,40,635500,True,,256B,,
aio-pika,publish_latency,41,656300,True,,256B,,
aio-pika,publish_latency,42,659900,True,,256B,,
aio-pika,publish_latency,43,581000,True,,256B,,
aio-pika,publish_latency,44,599400,True,,256B,,
aio-pika,publish_latency,45,589900,True,,256B,,
aio-pika,publish_latency,46,582800,True,,256B,,
aio-pika,publish_latency,47,600100,True,,256B,,
aio-pika,publish_latency,48,586700,True,,256B,,
aio-pika,publish_latency,49,596700,True,,256B,,
aio-pika,publish_latency,0,642100,True,,1KB,,
aio-pika,publish_latency,1,679200,True,,1KB,,
aio-pika,publish_latency,2,661900,True,,1KB,,
aio-pika,publish_latency,3,589100,True,,1KB,,
aio-pika,publish_latency,4,580300,True,,1KB,,
aio-pika,publish_latency,5,636200,True,,1KB,,
aio-pika,publish_latency,6,586400,True,,1KB,,
aio-pika,publish_latency,7,586500,True,,1KB,,
aio-pika,publish_latency,8,589000,True,,1KB,,
aio-pika,publish_latency,9,597100,True,,1KB,,
aio-pika,publish_latency,10,590400,True,,1KB,,
aio-pika,publish_latency,11,651500,True,,1KB,,
aio-pika,publish_latency,12,623800,True,,1KB,,
aio-pika,publish_latency,13,577000,True,,1KB,,
aio-pika,publish_latency,14,566200,True,,1KB,,
aio-pika,publish_latency,15,586300,True,,1KB,,
aio-pika,publish_latency,16,584400,True,,1KB,,
aio-pika,publish_latency,17,581500,True,,1KB,,
aio-pika,publish_latency,18,775300,True,,1KB,,
aio-pika,publish_latency,19,598000,True,,1KB,,
aio-pika,publish_latency,20,589100,True,,1KB,,
aio-pika,publish_latency,21,587000,True,,1KB,,
aio-pika,publish_latency,22,561700,True,,1KB,,
aio-pika,publish_latency,23,591000,True,,1KB,,
aio-pika,publish_latency,24,596200,True,,1KB,,
aio-pika,publish_latency,25,641400,True,,1KB,,
aio-pika,publish_latency,26,585200,True,,1KB,,
aio-pika,publish_latency,27,566100,True,,1KB,,
aio-pika,publish_latency,28,566100,True,,1KB,,
aio-pika,publish_latency,29,571700,True,,1KB,,
aio-pika,publish_latency,30,638800,True,,1KB,,
aio-pika,publish_latency,31,570300,True,,1KB,,
aio-pika,publish_latency,32,638100,True,,1KB,,
aio-pika,publish_latency,33,718500,True,,1KB,,
aio-pika,publish_latency,34,574300,True,,1KB,,
aio-pika,publish_latency,35,587600,True,,1KB,,
aio-pika,publish_latency,36,602800,True,,1KB,,
aio-pika,publish_latency,37,643900,True,,1KB,,
aio-pika,publish_latency,38,796600,True,,1KB,,
aio-pika,publish_latency,39,630200,True,,1KB,,
aio-pika,publish_latency,40,595400,True,,1KB,,
aio-pika,publish_latency,41,571700,True,,1KB,,
aio-pika,publish_latency,42,574200,True,,1KB,,
aio-pika,publish_latency,43,580400,True,,1KB,,
aio-pika,publish_latency,44,573900,True,,1KB,,
aio-pika,publish_latency,45,595000,True,,1KB,,
aio-pika,publish_latency,46,591700,True,,1KB,,
aio-pika,publish_latency,47,567400,True,,1KB,,
aio-pika,publish_latency,48,577500,True,,1KB,,
aio-pika,publish_latency,49,581900,True,,1KB,,
aio-pika,publish_latency,0,627400,True,,2KB,,
aio-pika,publish_latency,1,651000,True,,2KB,,
aio-pika,publish_latency,2,609900,True,,2KB,,
aio-pika,publish_latency,3,610600,True,,2KB,,
aio-pika,publish_latency,4,635000,True,,2KB,,
aio-pika,publish_latency,5,631900,True,,2KB,,
aio-pika,publish_latency,6,740200,True,,2KB,,
aio-pika,publish_latency,7,728100,True,,2KB,,
aio-pika,publish_latency,8,610900,True,,2KB,,
aio-pika,publish_latency,9,600600,True,,2KB,,
aio-pika,publish_latency,10,614700,True,,2KB,,
aio-pika,publish_latency,11,627600,True,,2KB,,
aio-pika,publish_latency,12,601200,True,,2KB,,
aio-pika,publish_latency,13,736900,True,,2KB,,
aio-pika,publish_latency,14,843700,True,,2KB,,
aio-pika,publish_latency,15,573000,True,,2KB,,
aio-pika,publish_latency,16,588400,True,,2KB,,
aio-pika,publish_latency,17,587900,True,,2KB,,
aio-pika,publish_latency,18,578000,True,,2KB,,
aio-pika,publish_latency,19,606500,True,,2KB,,
aio-pika,publish_latency,20,589200,True,,2KB,,
aio-pika,publish_latency,21,574800,True,,2KB,,
aio-pika,publish_latency,22,599300,True,,2KB,,
aio-pika,publish_latency,23,581900,True,,2KB,,
aio-pika,publish_latency,24,602500,True,,2KB,,
aio-pika,publish_latency,25,598500,True,,2KB,,
aio-pika,publish_latency,26,619900,True,,2KB,,
aio-pika,publish_latency,27,616500,True,,2KB,,
aio-pika,publish_latency,28,643400,True,,2KB,,
aio-pika,publish_latency,29,629500,True,,2KB,,
aio-pika,publish_latency,30,626200,True,,2KB,,
aio-pika,publish_latency,31,617100,True,,2KB,,
aio-pika,publish_latency,32,610500,True,,2KB,,
aio-pika,publish_latency,33,602900,True,,2KB,,
aio-pika,publish_latency,34,593000,True,,2KB,,
aio-pika,publish_latency,35,586400,True,,2KB,,
aio-pika,publish_latency,36,584200,True,,2KB,,
aio-pika,publish_latency,37,606300,True,,2KB,,
aio-pika,publish_latency,38,595000,True,,2KB,,
aio-pika,publish_latency,39,598400,True,,2KB,,
aio-pika,publish_latency,40,606300,True,,2KB,,
aio-pika,publish_latency,41,616900,True,,2KB,,
aio-pika,publish_latency,42,760100,True,,2KB,,
aio-pika,publish_latency,43,661000,True,,2KB,,
aio-pika,publish_latency,44,587900,True,,2KB,,
aio-pika,publish_latency,45,586900,True,,2KB,,
aio-pika,publish_latency,46,568700,True,,2KB,,
aio-pika,publish_latency,47,607100,True,,2KB,,
aio-pika,publish_latency,48,591300,True,,2KB,,
aio-pika,publish_latency,49,580600,True,,2KB,,
aio-pika,consume_latency,0,739500,True,,256B,,
