client,benchmark,iteration,value_ns,success,error,param_size,param_messages,param_concurrency
simple,publish_latency,0,1254300,True,,256B,,
simple,publish_latency,1,1275100,True,,256B,,
simple,publish_latency,2,1191200,True,,256B,,
simple,publish_latency,3,1381400,True,,256B,,
simple,publish_latency,4,1196700,True,,256B,,
simple,publish_latency,5,1179000,True,,256B,,
simple,publish_latency,6,1167000,True,,256B,,
simple,publish_latency,7,1149200,True,,256B,,
simple,publish_latency,8,1136200,True,,256B,,
simple,publish_latency,9,1139200,True,,256B,,
simple,publish_latency,10,1302200,True,,256B,,
simple,publish_latency,11,1166500,True,,256B,,
simple,publish_latency,12,1119700,True,,256B,,
simple,publish_latency,13,1163200,True,,256B,,
simple,publish_latency,14,1224400,True,,256B,,
simple,publish_latency,15,1174600,True,,256B,,
simple,publish_latency,16,1783800,True,,256B,,
simple,publish_latency,17,1169100,True,,256B,,
simple,publish_latency,18,1161100,True,,256B,,
simple,publish_latency,19,1137900,True,,256B,,
simple,publish_latency,20,1112600,True,,256B,,
simple,publish_latency,21,1128800,True,,256B,,
simple,publish_latency,22,1309700,True,,256B,,
simple,publish_latency,23,1171600,True,,256B,,
simple,publish_latency,24,1144600,True,,256B,,
simple,publish_latency,25,1166100,True,,256B,,
simple,publish_latency,26,1143300,True,,256B,,
simple,publish_latency,27,1317300,True,,256B,,
simple,publish_latency,28,1149600,True,,256B,,
simple,publish_latency,29,1185500,True,,256B,,
simple,publish_latency,30,1121600,True,,256B,,
simple,publish_latency,31,1088500,True,,256B,,
simple,publish_latency,32,1172200,True,,256B,,
simple,publish_latency,33,1188600,True,,256B,,
simple,publish_latency,34,1143000,True,,256B,,
simple,publish_latency,35,1127500,True,,256B,,
simple,publish_latency,36,1153100,True,,256B,,
simple,publish_latency,37,1136400,True,,256B,,
simple,publish_latency,38,1148500,True,,256B,,
simple,publish_latency,39,1186200,True,,256B,,
simple,publish_latency,40,1192600,True,,256B,,
simple,publish_latency,41,1126500,True,,256B,,
simple,publish_latency,42,1185900,True,,256B,,
simple,publish_latency,43,1157700,True,,256B,,
