client,benchmark,iteration,value_ns,success,error,param_size,param_concurrency
aio-pika,publish_latency,0,644300,True,,256B,
aio-pika,publish_latency,1,584600,True,,256B,
aio-pika,publish_latency,2,592100,True,,256B,
aio-pika,publish_latency,3,621000,True,,256B,
aio-pika,publish_latency,4,626500,True,,256B,
aio-pika,publish_latency,5,569900,True,,256B,
aio-pika,publish_latency,6,564100,True,,256B,
aio-pika,publish_latency,7,584200,True,,256B,
aio-pika,publish_latency,8,589600,True,,256B,
aio-pika,publish_latency,9,554200,True,,256B,
aio-pika,publish_latency,10,555800,True,,256B,
aio-pika,publish_latency,11,555300,True,,256B,
aio-pika,publish_latency,12,550000,True,,256B,
aio-pika,publish_latency,13,623600,True,,256B,
aio-pika,publish_latency,14,681300,True,,256B,
aio-pika,publish_latency,15,599200,True,,256B,
aio-pika,publish_latency,16,561500,True,,256B,
aio-pika,publish_latency,17,565500,True,,256B,
aio-pika,publish_latency,18,561600,True,,256B,
aio-pika,publish_latency,19,563300,True,,256B,
aio-pika,publish_latency,20,643500,True,,256B,
aio-pika,publish_latency,21,596000,True,,256B,
aio-pika,publish_latency,22,572600,True,,256B,
aio-pika,publish_latency,23,571700,True,,256B,
aio-pika,publish_latency,24,574500,True,,256B,
aio-pika,publish_latency,25,587700,True,,256B,
aio-pika,publish_latency,26,585800,True,,256B,
aio-pika,publish_latency,27,604300,True,,256B,
aio-pika,publish_latency,28,567800,True,,256B,
aio-pika,publish_latency,29,555300,True,,256B,
aio-pika,publish_latency,30,577600,True,,256B,
aio-pika,publish_latency,31,566500,True,,256B,
aio-pika,publish_latency,32,578900,True,,256B,
aio-pika,publish_latency,33,549100,True,,256B,
aio-pika,publish_latency,34,557900,True,,256B,
aio-pika,publish_latency,35,585200,True,,256B,
aio-pika,publish_latency,36,576800,True,,256B,
aio-pika,publish_latency,37,594400,True,,256B,
aio-pika,publish_latency,38,570200,True,,256B,
aio-pika,publish_latency,39,570900,True,,256B,
aio-pika,publish_latency,40,550800,True,,256B,
aio-pika,publish_latency,41,576000,True,,256B,
aio-pika,publish_latency,42,566000,True,,256B,
aio-pika,publish_latency,43,576800,True,,256B,
aio-pika,publish_latency,44,562400,True,,256B,
aio-pika,publish_latency,45,550200,True,,256B,
aio-pika,publish_latency,46,556400,True,,256B,
aio-pika,publish_latency,47,562900,True,,256B,
aio-pika,publish_latency,48,786400,True,,256B,
aio-pika,publish_latency,49,674300,True,,256B,
aio-pika,publish_latency,0,661600,True,,1KB,
aio-pika,publish_latency,1,660600,True,,1KB,
aio-pika,publish_latency,2,567000,True,,1KB,
aio-pika,publish_latency,3,555700,True,,1KB,
aio-pika,publish_latency,4,568900,True,,1KB,
aio-pika,publish_latency,5,602700,True,,1KB,
aio-pika,publish_latency,6,561000,True,,1KB,
aio-pika,publish_latency,7,566700,True,,1KB,
aio-pika,publish_latency,8,560800,True,,1KB,
aio-pika,publish_latency,9,562000,True,,1KB,
aio-pika,publish_latency,10,556600,True,,1KB,
aio-pika,publish_latency,11,664000,True,,1KB,
aio-pika,publish_latency,12,575600,True,,1KB,
aio-pika,publish_latency,13,571700,True,,1KB,
aio-pika,publish_latency,14,562200,True,,1KB,
aio-pika,publish_latency,15,556900,True,,1KB,
aio-pika,publish_latency,16,564800,True,,1KB,
aio-pika,publish_latency,17,582900,True,,1KB,
aio-pika,publish_latency,18,590600,True,,1KB,
aio-pika,publish_latency,19,563800,True,,1KB,
aio-pika,publish_latency,20,563700,True,,1KB,
aio-pika,publish_latency,21,552000,True,,1KB,
aio-pika,publish_latency,22,583200,True,,1KB,
aio-pika,publish_latency,23,581800,True,,1KB,
aio-pika,publish_latency,24,563200,True,,1KB,
aio-pika,publish_latency,25,560500,True,,1KB,
aio-pika,publish_latency,26,589900,True,,1KB,
aio-pika,publish_latency,27,549900,True,,1KB,
aio-pika,publish_latency,28,676100,True,,1KB,
aio-pika,publish_latency,29,642100,True,,1KB,
aio-pika,publish_latency,30,569700,True,,1KB,
aio-pika,publish_latency,31,568900,True,,1KB,
aio-pika,publish_latency,32,557100,True,,1KB,
aio-pika,publish_latency,33,555300,True,,1KB,
aio-pika,publish_latency,34,547000,True,,1KB,
aio-pika,publish_latency,35,562100,True,,1KB,
aio-pika,publish_latency,36,551000,True,,1KB,
aio-pika,publish_latency,37,543600,True,,1KB,
aio-pika,publish_latency,38,583200,True,,1KB,
aio-pika,publish_latency,39,577800,True,,1KB,
aio-pika,publish_latency,40,564700,True,,1KB,
aio-pika,publish_latency,41,585300,True,,1KB,
aio-pika,publish_latency,42,565000,True,,1KB,
aio-pika,publish_latency,43,579000,True,,1KB,
aio-pika,publish_latency,44,564500,True,,1KB,
aio-pika,publish_latency,45,586600,True,,1KB,
aio-pika,publish_latency,46,561200,True,,1KB,
aio-pika,publish_latency,47,552700,True,,1KB,
aio-pika,publish_latency,48,592600,True,,1KB,
aio-pika,publish_latency,49,598000,True,,1KB,
aio-pika,consume_latency,0,741500,True,,256B,
aio-pika,consume_latency,1,648600,True,,256B,
aio-pika,consume_latency,2,630200,True,,256B,
aio-pika,consume_latency,3,603700,True,,256B,
aio-pika,consume_latency,4,612800,True,,256B,
aio-pika,consume_latency,5,610500,True,,256B,
aio-pika,consume_latency,6,622100,True,,256B,
aio-pika,consume_latency,7,597900,True,,256B,
aio-pika,consume_latency,8,605600,True,,256B,
aio-pika,consume_latency,9,736400,True,,256B,
aio-pika,consume_latency,10,760600,True,,256B,
aio-pika,consume_latency,11,620800,True,,256B,
aio-pika,consume_latency,12,625100,True,,256B,
aio-pika,consume_latency,13,630100,True,,256B,
aio-pika,consume_latency,14,723600,True,,256B,
aio-pika,consume_latency,15,621800,True,,256B,
aio-pika,consume_latency,16,624000,True,,256B,
aio-pika,consume_latency,17,585100,True,,256B,
aio-pika,consume_latency,18,595200,True,,256B,
aio-pika,consume_latency,19,596100,True,,256B,
aio-pika,consume_latency,20,880300,True,,256B,
aio-pika,consume_latency,21,669600,True,,256B,
aio-pika,consume_latency,22,634100,True,,256B,
aio-pika,consume_latency,23,604200,True,,256B,
aio-pika,consume_latency,24,624400,True,,256B,
aio-pika,consume_latency,25,597800,True,,256B,
aio-pika,consume_latency,26,606400,True,,256B,
aio-pika,consume_latency,27,615200,True,,256B,
aio-pika,consume_latency,28,601400,True,,256B,
aio-pika,consume_latency,29,629200,True,,256B,
aio-pika,consume_latency,30,655000,True,,256B,
aio-pika,consume_latency,31,645700,True,,256B,
aio-pika,consume_latency,32,634100,True,,256B,
aio-pika,consume_latency,33,605200,True,,256B,
aio-pika,consume_latency,34,591600,True,,256B,
aio-pika,consume_latency,35,616600,True,,256B,
aio-pika,consume_latency,36,591900,True,,256B,
aio-pika,consume_latency,37,606100,True,,256B,
aio-pika,consume_latency,38,615500,True,,256B,
aio-pika,consume_latency,39,592200,True,,256B,
aio-pika,consume_latency,40,739300,True,,256B,
aio-pika,consume_latency,41,748700,True,,256B,
aio-pika,consume_latency,42,604700,True,,256B,
aio-pika,consume_latency,43,614700,True,,256B,
aio-pika,consume_latency,44,616000,True,,256B,
aio-pika,consume_latency,45,681800,True,,256B,
aio-pika,consume_latency,46,629200,True,,256B,
aio-pika,consume_latency,47,604300,True,,256B,
aio-pika,consume_latency,48,590300,True,,256B,
aio-pika,consume_latency,49,845900,True,,256B,
aio-pika,consume_latency,0,728400,True,,1KB,
aio-pika,consume_latency,1,643100,True,,1KB,
aio-pika,consume_latency,2,666400,True,,1KB,
aio-pika,consume_latency,3,632800,True,,1KB,
aio-pika,consume_latency,4,635100,True,,1KB,
aio-pika,consume_latency,5,606000,True,,1KB,
aio-pika,consume_latency,6,592900,True,,1KB,
aio-pika,consume_latency,7,589600,True,,1KB,
aio-pika,consume_latency,8,606300,True,,1KB,
aio-pika,consume_latency,9,635600,True,,1KB,
aio-pika,consume_latency,10,617600,True,,1KB,
aio-pika,consume_latency,11,711200,True,,1KB,
aio-pika,consume_latency,12,763400,True,,1KB,
aio-pika,consume_latency,13,606800,True,,1KB,
aio-pika,consume_latency,14,608400,True,,1KB,
aio-pika,consume_latency,15,606300,True,,1KB,
aio-pika,consume_latency,16,604000,True,,1KB,
aio-pika,consume_latency,17,582700,True,,1KB,
aio-pika,consume_latency,18,598000,True,,1KB,
aio-pika,consume_latency,19,583300,True,,1KB,
aio-pika,consume_latency,20,744800,True,,1KB,
aio-pika,consume_latency,21,603400,True,,1KB,
aio-pika,consume_latency,22,605700,True,,1KB,
aio-pika,consume_latency,23,631700,True,,1KB,
aio-pika,consume_latency,24,613200,True,,1KB,
aio-pika,consume_latency,25,605600,True,,1KB,
aio-pika,consume_latency,26,602800,True,,1KB,
aio-pika,consume_latency,27,589000,True,,1KB,
aio-pika,consume_latency,28,586100,True,,1KB,
aio-pika,consume_latency,29,625200,True,,1KB,
aio-pika,consume_latency,30,627500,True,,1KB,
aio-pika,consume_latency,31,653400,True,,1KB,
aio-pika,consume_latency,32,605300,True,,1KB,
aio-pika,consume_latency,33,559600,True,,1KB,
aio-pika,consume_latency,34,596000,True,,1KB,
aio-pika,consume_latency,35,646800,True,,1KB,
aio-pika,consume_latency,36,597000,True,,1KB,
aio-pika,consume_latency,37,589100,True,,1KB,
aio-pika,consume_latency,38,623900,True,,1KB,
aio-pika,consume_latency,39,600900,True,,1KB,
aio-pika,consume_latency,40,599100,True,,1KB,
