client,benchmark,iteration,value_ns,success,error,param_size,param_concurrency
pika,consume_latency,43,918800,True,,256B,
pika,consume_latency,44,895000,True,,256B,
pika,consume_latency,45,610900,True,,256B,
pika,consume_latency,46,623300,True,,256B,
pika,consume_latency,47,643400,True,,256B,
pika,consume_latency,48,634800,True,,256B,
pika,consume_latency,49,584000,True,,256B,
pika,consume_latency,0,795500,True,,1KB,
pika,consume_latency,1,617400,True,,1KB,
pika,consume_latency,2,622600,True,,1KB,
pika,consume_latency,3,619000,True,,1KB,
pika,consume_latency,4,659400,True,,1KB,
pika,consume_latency,5,633200,True,,1KB,
pika,consume_latency,6,626500,True,,1KB,
pika,consume_latency,7,631700,True,,1KB,
pika,consume_latency,8,709400,True,,1KB,
pika,consume_latency,9,708300,True,,1KB,
pika,consume_latency,10,623400,True,,1KB,
pika,consume_latency,11,642000,True,,1KB,
pika,consume_latency,12,624000,True,,1KB,
pika,consume_latency,13,631500,True,,1KB,
pika,consume_latency,14,613500,True,,1KB,
pika,consume_latency,15,814100,True,,1KB,
pika,consume_latency,16,656100,True,,1KB,
pika,consume_latency,17,613100,True,,1KB,
pika,consume_latency,18,1058200,True,,1KB,
pika,consume_latency,19,657100,True,,1KB,
pika,consume_latency,20,621000,True,,1KB,
pika,consume_latency,21,771400,True,,1KB,
pika,consume_latency,22,690800,True,,1KB,
pika,consume_latency,23,643600,True,,1KB,
pika,consume_latency,24,636300,True,,1KB,
pika,consume_latency,25,642200,True,,1KB,
pika,consume_latency,26,653000,True,,1KB,
pika,consume_latency,27,642900,True,,1KB,
pika,consume_latency,28,785900,True,,1KB,
pika,consume_latency,29,674700,True,,1KB,
pika,consume_latency,30,651000,True,,1KB,
pika,consume_latency,31,675800,True,,1KB,
pika,consume_latency,32,822600,True,,1KB,
pika,consume_latency,33,659800,True,,1KB,
pika,consume_latency,34,635800,True,,1KB,
pika,consume_latency,35,632400,True,,1KB,
pika,consume_latency,36,639800,True,,1KB,
pika,consume_latency,37,649000,True,,1KB,
pika,consume_latency,38,1076800,True,,1KB,
pika,consume_latency,39,622100,True,,1KB,
pika,consume_latency,40,659600,True,,1KB,
pika,consume_latency,41,627600,True,,1KB,
pika,consume_latency,42,615400,True,,1KB,
pika,consume_latency,43,642000,True,,1KB,
pika,consume_latency,44,668300,True,,1KB,
pika,consume_latency,45,683300,True,,1KB,
pika,consume_latency,46,628900,True,,1KB,
pika,consume_latency,47,638800,True,,1KB,
pika,consume_latency,48,617000,True,,1KB,
pika,consume_latency,49,656600,True,,1KB,
pika,publish_throughput,0,22060331900,True,,256B,
pika,publish_throughput,1,21938831000,True,,256B,
pika,publish_throughput,0,22066546900,True,,1KB,
pika,publish_throughput,1,21946267700,True,,1KB,
pika,consume_throughput,0,0,False,RuntimeError('under-drained: consumed 54/500'),256B,
pika,consume_throughput,1,0,False,RuntimeError('under-drained: consumed 43/500'),256B,
pika,consume_throughput,0,280805100,True,,1KB,
pika,consume_throughput,1,274613400,True,,1KB,
pika,round_trip,0,44469400,True,,256B,
pika,round_trip,1,44180200,True,,256B,
pika,round_trip,2,44415300,True,,256B,
pika,round_trip,3,44121100,True,,256B,
pika,round_trip,4,44155200,True,,256B,
pika,round_trip,5,44142900,True,,256B,
pika,round_trip,6,44528200,True,,256B,
pika,round_trip,7,44451900,True,,256B,
pika,round_trip,8,44042100,True,,256B,
pika,round_trip,9,44115000,True,,256B,
pika,round_trip,10,44228600,True,,256B,
pika,round_trip,11,44459600,True,,256B,
pika,round_trip,12,43636300,True,,256B,
pika,round_trip,13,44236300,True,,256B,
pika,round_trip,14,44541600,True,,256B,
pika,round_trip,15,44084000,True,,256B,
pika,round_trip,16,44264300,True,,256B,
pika,round_trip,17,44198700,True,,256B,
pika,round_trip,18,43966900,True,,256B,
pika,round_trip,19,44354600,True,,256B,
pika,round_trip,20,44226200,True,,256B,
pika,round_trip,21,45053400,True,,256B,
pika,round_trip,22,43719400,True,,256B,
pika,round_trip,23,44071300,True,,256B,
pika,round_trip,24,44222400,True,,256B,
pika,round_trip,25,44159100,True,,256B,
pika,round_trip,26,44555900,True,,256B,
pika,round_trip,27,43713000,True,,256B,
pika,round_trip,28,44277500,True,,256B,
pika,round_trip,29,44331800,True,,256B,
pika,round_trip,30,44369900,True,,256B,
pika,round_trip,31,44420100,True,,256B,
pika,round_trip,32,44031200,True,,256B,
pika,round_trip,33,44018800,True,,256B,
pika,round_trip,34,44170600,True,,256B,
pika,round_trip,35,44103000,True,,256B,
pika,round_trip,36,44760100,True,,256B,
pika,round_trip,37,43596000,True,,256B,
pika,round_trip,38,44588000,True,,256B,
pika,round_trip,39,43934800,True,,256B,
pika,round_trip,40,44636000,True,,256B,
pika,round_trip,41,44268000,True,,256B,
pika,round_trip,42,43873700,True,,256B,
pika,round_trip,43,44403300,True,,256B,
pika,round_trip,44,44038500,True,,256B,
pika,round_trip,45,44451700,True,,256B,
pika,round_trip,46,44189500,True,,256B,
pika,round_trip,47,44429100,True,,256B,
pika,round_trip,48,43897800,True,,256B,
pika,round_trip,49,44028000,True,,256B,
pika,round_trip,0,43794000,True,,1KB,
pika,round_trip,1,44075100,True,,1KB,
pika,round_trip,2,45088700,True,,1KB,
pika,round_trip,3,43322000,True,,1KB,
pika,round_trip,4,44531900,True,,1KB,
pika,round_trip,5,44291500,True,,1KB,
pika,round_trip,6,43816000,True,,1KB,
pika,round_trip,7,44408800,True,,1KB,
pika,round_trip,8,44280400,True,,1KB,
pika,round_trip,9,44196900,True,,1KB,
pika,round_trip,10,44280100,True,,1KB,
pika,round_trip,11,43900500,True,,1KB,
pika,round_trip,12,44216200,True,,1KB,
pika,round_trip,13,44783500,True,,1KB,
pika,round_trip,14,43661900,True,,1KB,
pika,round_trip,15,44641900,True,,1KB,
pika,round_trip,16,44594900,True,,1KB,
pika,round_trip,17,43890400,True,,1KB,
pika,round_trip,18,44019300,True,,1KB,
pika,round_trip,19,44098900,True,,1KB,
pika,round_trip,20,44241400,True,,1KB,
pika,round_trip,21,48120900,True,,1KB,
pika,round_trip,22,44131600,True,,1KB,
pika,round_trip,23,44557700,True,,1KB,
pika,round_trip,24,44316600,True,,1KB,
pika,round_trip,25,44497600,True,,1KB,
pika,round_trip,26,43879800,True,,1KB,
pika,round_trip,27,43854100,True,,1KB,
pika,round_trip,28,44413300,True,,1KB,
pika,round_trip,29,43988400,True,,1KB,
pika,round_trip,30,44781500,True,,1KB,
pika,round_trip,31,43840900,True,,1KB,
pika,round_trip,32,44093700,True,,1KB,
pika,round_trip,33,44222000,True,,1KB,
pika,round_trip,34,44474200,True,,1KB,
pika,round_trip,35,44211800,True,,1KB,
pika,round_trip,36,44231100,True,,1KB,
pika,round_trip,37,43953600,True,,1KB,
pika,round_trip,38,44519000,True,,1KB,
pika,round_trip,39,44345500,True,,1KB,
pika,round_trip,40,43736200,True,,1KB,
pika,round_trip,41,44742200,True,,1KB,
pika,round_trip,42,43974300,True,,1KB,
pika,round_trip,43,44104000,True,,1KB,
pika,round_trip,44,44727200,True,,1KB,
pika,round_trip,45,43614500,True,,1KB,
pika,round_trip,46,44512200,True,,1KB,
pika,round_trip,47,44450000,True,,1KB,
pika,round_trip,48,44080700,True,,1KB,
pika,round_trip,49,44199800,True,,1KB,
pika,concurrent_publish,0,22210096900,True,,1KB,1.0
pika,concurrent_publish,1,22062848900,True,,1KB,1.0
pika,concurrent_publish,0,21988587700,True,,1KB,4.0
pika,concurrent_publish,1,22068532800,True,,1KB,4.0
pika,concurrent_publish,0,21811505000,True,,1KB,16.0
pika,concurrent_publish,1,21911172500,True,,1KB,16.0
pika,concurrent_consume,0,6791700,True,,1KB,1.0
pika,concurrent_consume,1,31138000,True,,1KB,1.0
pika,concurrent_consume,0,133048300,True,,1KB,4.0
pika,concurrent_consume,1,115485200,True,,1KB,4.0
pika,concurrent_consume,0,207447900,True,,1KB,16.0
pika,concurrent_consume,1,280038600,True,,1KB,16.0
aio-pika,publish_latency,0,617600,True,,256B,
aio-pika,publish_latency,1,702000,True,,256B,
aio-pika,publish_latency,2,599700,True,,256B,
aio-pika,publish_latency,3,972600,True,,256B,
aio-pika,publish_latency,4,722000,True,,256B,
aio-pika,publish_latency,5,784900,True,,256B,
aio-pika,publish_latency,6,636400,True,,256B,
aio-pika,publish_latency,7,576200,True,,256B,
aio-pika,publish_latency,8,568000,True,,256B,
aio-pika,publish_latency,9,552500,True,,256B,
aio-pika,publish_latency,10,584300,True,,256B,
aio-pika,publish_latency,11,587200,True,,256B,
aio-pika,publish_latency,12,584500,True,,256B,
aio-pika,publish_latency,13,600300,True,,256B,
aio-pika,publish_latency,14,940700,True,,256B,
aio-pika,publish_latency,15,632200,True,,256B,
aio-pika,publish_latency,16,667100,True,,256B,
aio-pika,publish_latency,17,758200,True,,256B,
aio-pika,publish_latency,18,552200,True,,256B,
aio-pika,publish_latency,19,554000,True,,256B,
aio-pika,publish_latency,20,577300,True,,256B,
aio-pika,publish_latency,21,609600,True,,256B,
aio-pika,publish_latency,22,532500,True,,256B,
aio-pika,publish_latency,23,642300,True,,256B,
aio-pika,publish_latency,24,598500,True,,256B,
aio-pika,publish_latency,25,892300,True,,256B,
aio-pika,publish_latency,26,878000,True,,256B,
aio-pika,publish_latency,27,713400,True,,256B,
aio-pika,publish_latency,28,766700,True,,256B,
aio-pika,publish_latency,29,741000,True,,256B,
aio-pika,publish_latency,30,717600,True,,256B,
aio-pika,publish_latency,31,621500,True,,256B,
aio-pika,publish_latency,32,634100,True,,256B,
aio-pika,publish_latency,33,657700,True,,256B,
aio-pika,publish_latency,34,879400,True,,256B,
aio-pika,publish_latency,35,633500,True,,256B,
aio-pika,publish_latency,36,620900,True,,256B,
aio-pika,publish_latency,37,556300,True,,256B,
aio-pika,publish_latency,38,562600,True,,256B,
aio-pika,publish_latency,39,593300,True,,256B,
aio-pika,publish_latency,40,574100,True,,256B,
aio-pika,publish_latency,41,552800,True,,256B,
aio-pika,publish_latency,42,537700,True,,256B,
aio-pika,publish_latency,43,570600,True,,256B,
aio-pika,publish_latency,44,598700,True,,256B,
aio-pika,publish_latency,45,576600,True,,256B,
aio-pika,publish_latency,46,750100,True,,256B,
aio-pika,publish_latency,47,728800,True,,256B,
aio-pika,publish_latency,48,646100,True,,256B,
aio-pika,publish_latency,49,578600,True,,256B,
aio-pika,publish_latency,0,587000,True,,1KB,
aio-pika,publish_latency,1,759700,True,,1KB,
aio-pika,publish_latency,2,679300,True,,1KB,
aio-pika,publish_latency,3,573100,True,,1KB,
aio-pika,publish_latency,4,572800,True,,1KB,
aio-pika,publish_latency,5,584500,True,,1KB,
aio-pika,publish_latency,6,585000,True,,1KB,
aio-pika,publish_latency,7,577700,True,,1KB,
aio-pika,publish_latency,8,577600,True,,1KB,
aio-pika,publish_latency,9,572900,True,,1KB,
aio-pika,publish_latency,10,573200,True,,1KB,
aio-pika,publish_latency,11,566900,True,,1KB,
aio-pika,publish_latency,12,578800,True,,1KB,
aio-pika,publish_latency,13,852800,True,,1KB,
aio-pika,publish_latency,14,710200,True,,1KB,
aio-pika,publish_latency,15,616700,True,,1KB,
aio-pika,publish_latency,16,627400,True,,1KB,
aio-pika,publish_latency,17,618200,True,,1KB,
aio-pika,publish_latency,18,543800,True,,1KB,
aio-pika,publish_latency,19,581900,True,,1KB,
aio-pika,publish_latency,20,583000,True,,1KB,
aio-pika,publish_latency,21,576800,True,,1KB,
aio-pika,publish_latency,22,580500,True,,1KB,
aio-pika,publish_latency,23,592100,True,,1KB,
aio-pika,publish_latency,24,772100,True,,1KB,
aio-pika,publish_latency,25,974000,True,,1KB,
aio-pika,publish_latency,26,550900,True,,1KB,
aio-pika,publish_latency,27,519100,True,,1KB,
aio-pika,publish_latency,28,513400,True,,1KB,
aio-pika,publish_latency,29,728500,True,,1KB,
aio-pika,publish_latency,30,652300,True,,1KB,
aio-pika,publish_latency,31,571900,True,,1KB,
aio-pika,publish_latency,32,578200,True,,1KB,
aio-pika,publish_latency,33,574200,True,,1KB,
aio-pika,publish_latency,34,1055600,True,,1KB,
aio-pika,publish_latency,35,644200,True,,1KB,
aio-pika,publish_latency,36,719000,True,,1KB,
aio-pika,publish_latency,37,569700,True,,1KB,
aio-pika,publish_latency,38,581300,True,,1KB,
aio-pika,publish_latency,39,595000,True,,1KB,
aio-pika,publish_latency,40,690700,True,,1KB,
aio-pika,publish_latency,41,577700,True,,1KB,
aio-pika,publish_latency,42,691300,True,,1KB,
aio-pika,publish_latency,43,585100,True,,1KB,
aio-pika,publish_latency,44,578600,True,,1KB,
aio-pika,publish_latency,45,880000,True,,1KB,
aio-pika,publish_latency,46,608300,True,,1KB,
aio-pika,publish_latency,47,777000,True,,1KB,
aio-pika,publish_latency,48,577300,True,,1KB,
aio-pika,publish_latency,49,574300,True,,1KB,
aio-pika,consume_latency,0,695200,True,,256B,
aio-pika,consume_latency,1,857600,True,,256B,
aio-pika,consume_latency,2,705600,True,,256B,
aio-pika,consume_latency,3,795300,True,,256B,
aio-pika,consume_latency,4,685900,True,,256B,
aio-pika,consume_latency,5,673800,True,,256B,
aio-pika,consume_latency,6,654400,True,,256B,
aio-pika,consume_latency,7,643300,True,,256B,
aio-pika,consume_latency,8,665600,True,,256B,
aio-pika,consume_latency,9,701000,True,,256B,
aio-pika,consume_latency,10,657100,True,,256B,
aio-pika,consume_latency,11,1354000,True,,256B,
aio-pika,consume_latency,12,680800,True,,256B,
aio-pika,consume_latency,13,639800,True,,256B,
aio-pika,consume_latency,14,611100,True,,256B,
aio-pika,consume_latency,15,617600,True,,256B,
aio-pika,consume_latency,16,634800,True,,256B,
aio-pika,consume_latency,17,618100,True,,256B,
aio-pika,consume_latency,18,635600,True,,256B,
aio-pika,consume_latency,19,615800,True,,256B,
aio-pika,consume_latency,20,618600,True,,256B,
aio-pika,consume_latency,21,685700,True,,256B,
aio-pika,consume_latency,22,672800,True,,256B,
aio-pika,consume_latency,23,638300,True,,256B,
aio-pika,consume_latency,24,651400,True,,256B,
aio-pika,consume_latency,25,633300,True,,256B,
aio-pika,consume_latency,26,621200,True,,256B,
aio-pika,consume_latency,27,752600,True,,256B,
aio-pika,consume_latency,28,651200,True,,256B,
aio-pika,consume_latency,29,628100,True,,256B,
aio-pika,consume_latency,30,660600,True,,256B,
