client,benchmark,iteration,value_ns,success,error,param_size,param_messages,param_concurrency
simple,publish_latency,0,1303000,True,,256B,,
simple,publish_latency,1,1564900,True,,256B,,
simple,publish_latency,2,1233000,True,,256B,,
simple,publish_latency,3,1151600,True,,256B,,
simple,publish_latency,4,1107700,True,,256B,,
simple,publish_latency,5,1115200,True,,256B,,
simple,publish_latency,6,1328500,True,,256B,,
simple,publish_latency,7,1459100,True,,256B,,
simple,publish_latency,8,1126300,True,,256B,,
simple,publish_latency,9,1251600,True,,256B,,
simple,publish_latency,10,1234500,True,,256B,,
simple,publish_latency,11,1123300,True,,256B,,
simple,publish_latency,12,1131700,True,,256B,,
simple,publish_latency,13,1196100,True,,256B,,
simple,publish_latency,14,1478500,True,,256B,,
simple,publish_latency,15,1252500,True,,256B,,
simple,publish_latency,16,1192000,True,,256B,,
simple,publish_latency,17,1193400,True,,256B,,
simple,publish_latency,18,1129000,True,,256B,,
simple,publish_latency,19,1365100,True,,256B,,
simple,publish_latency,20,1120800,True,,256B,,
simple,publish_latency,21,1121800,True,,256B,,
simple,publish_latency,22,1442200,True,,256B,,
simple,publish_latency,23,1120600,True,,256B,,
simple,publish_latency,24,1151700,True,,256B,,
simple,publish_latency,25,1176100,True,,256B,,
simple,publish_latency,26,1114300,True,,256B,,
simple,publish_latency,27,1171100,True,,256B,,
simple,publish_latency,28,1249000,True,,256B,,
simple,publish_latency,29,1199200,True,,256B,,
simple,publish_latency,30,1107400,True,,256B,,
simple,publish_latency,31,1127000,True,,256B,,
simple,publish_latency,32,1370600,True,,256B,,
simple,publish_latency,33,1502500,True,,256B,,
simple,publish_latency,34,1146700,True,,256B,,
simple,publish_latency,35,1106800,True,,256B,,
simple,publish_latency,36,1138500,True,,256B,,
simple,publish_latency,37,1168700,True,,256B,,
simple,publish_latency,38,1156300,True,,256B,,
simple,publish_latency,39,1123400,True,,256B,,
simple,publish_latency,40,1110000,True,,256B,,
simple,publish_latency,41,1168400,True,,256B,,
simple,publish_latency,42,1147200,True,,256B,,
simple,publish_latency,43,1110000,True,,256B,,
simple,publish_latency,44,1111800,True,,256B,,
simple,publish_latency,45,1166600,True,,256B,,
simple,publish_latency,46,1137900,True,,256B,,
simple,publish_latency,47,1102700,True,,256B,,
simple,publish_latency,48,1154300,True,,256B,,
simple,publish_latency,49,1110000,True,,256B,,
simple,publish_latency,0,1149400,True,,1KB,,
simple,publish_latency,1,1182900,True,,1KB,,
simple,publish_latency,2,1112900,True,,1KB,,
simple,publish_latency,3,1192800,True,,1KB,,
simple,publish_latency,4,1141300,True,,1KB,,
simple,publish_latency,5,1111000,True,,1KB,,
simple,publish_latency,6,1086700,True,,1KB,,
simple,publish_latency,7,1135100,True,,1KB,,
simple,publish_latency,8,1099900,True,,1KB,,
simple,publish_latency,9,1102600,True,,1KB,,
simple,publish_latency,10,1090300,True,,1KB,,
simple,publish_latency,11,1174900,True,,1KB,,
simple,publish_latency,12,1156200,True,,1KB,,
simple,publish_latency,13,1098200,True,,1KB,,
simple,publish_latency,14,1285700,True,,1KB,,
simple,publish_latency,15,1072300,True,,1KB,,
simple,publish_latency,16,1108200,True,,1KB,,
simple,publish_latency,17,1197200,True,,1KB,,
simple,publish_latency,18,1077900,True,,1KB,,
simple,publish_latency,19,1068500,True,,1KB,,
simple,publish_latency,20,1065600,True,,1KB,,
simple,publish_latency,21,1102400,True,,1KB,,
simple,publish_latency,22,1107800,True,,1KB,,
simple,publish_latency,23,1108400,True,,1KB,,
simple,publish_latency,24,1107100,True,,1KB,,
simple,publish_latency,25,1113100,True,,1KB,,
simple,publish_latency,26,1089300,True,,1KB,,
simple,publish_latency,27,1089000,True,,1KB,,
simple,publish_latency,28,1090900,True,,1KB,,
simple,publish_latency,29,1060800,True,,1KB,,
simple,publish_latency,30,1050700,True,,1KB,,
simple,publish_latency,31,1695700,True,,1KB,,
simple,publish_latency,32,1229600,True,,1KB,,
simple,publish_latency,33,1128200,True,,1KB,,
simple,publish_latency,34,1136100,True,,1KB,,
simple,publish_latency,35,1128500,True,,1KB,,
simple,publish_latency,36,1093000,True,,1KB,,
simple,publish_latency,37,1113500,True,,1KB,,
simple,publish_latency,38,1108100,True,,1KB,,
simple,publish_latency,39,1135200,True,,1KB,,
simple,publish_latency,40,1078200,True,,1KB,,
simple,publish_latency,41,1086400,True,,1KB,,
simple,publish_latency,42,1076300,True,,1KB,,
simple,publish_latency,43,1088000,True,,1KB,,
simple,publish_latency,44,1361300,True,,1KB,,
simple,publish_latency,45,1132900,True,,1KB,,
simple,publish_latency,46,1232400,True,,1KB,,
simple,publish_latency,47,1125800,True,,1KB,,
